Nama Sekolah;PD;Rombel;Guru;Pegawai;R. Kelas;R. Lab;R. Perpus;Total
SMP ADVENT CIMINDI;135;6;7;4;8;1;1;162
SMP BODHI SINAR TERANG;1;2;;;2;1;1;7
SMP KIANSANTANG;75;3;5;1;3;1;1;89
SMP KRISTEN 5 BPK PENABUR;298;11;24;6;21;3;1;364
SMP KRISTEN BALA KESELAMATAN;8;3;;1;3;1;1;17
SMP LPPN;4;3;1;2;3;;1;14
SMP MUHAMMADIYAH 4;22;3;2;2;3;1;1;34
SMP MUTIARA 1;178;7;9;5;9;2;1;211
SMP MUTIARA 4;614;19;3;8;21;2;1;668
SMP NEGERI 23;763;24;39;9;24;4;1;864
SMP NEGERI 32;791;24;4;12;28;2;1;862
SMP NEGERI 41;1,59;32;53;14;35;3;1;140
SMP NEGERI 6;766;25;4;1;27;2;1;826
SMP NEGERI 67;246;8;12;5;8;;;279
SMP PAJAJARAN 1;57;3;8;2;4;1;1;76
SMP PASUNDAN 4;526;16;23;6;14;2;1;588
SMP RAJAWALI;112;3;1;1;4;;1;122
SMP TERANG NUSANTARA;91;4;8;3;4;2;1;113
SMP WARINGIN;432;15;27;8;16;3;1;502
SMP YWKA;132;6;1;7;1;3;1;151
